road,ga_length,ga_start,ga_end,ga_k_end,ga_kind,ga_q,가로수길길이,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
냉정중앙길,35.090003,129.001243,35.085375,128.595968,왕벚나무+은행나무+이팝나무,188,0.9,"이팝나무,은행나무,왕벚나무가 식재되어 있음",냉정로,,주례럭키아파트~냉정시장,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
승학길,35.081515,128.593755,35.080963,128.593434,왕벚나무+은행나무,160,0.7,왕벚나무와 은행나무가 식재되어 있음,학감대로49번길,,구학초교~구덕대림아파트,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
엄궁중앙길,35.074461,128.581452,35.073979,128.584223,은행나무+이팝나무,82,0.9,은행나무와 이팝나무가 식재되어 있음,엄궁북로,,엄궁1교~엄궁주공아파트,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
엄궁산복도로,35.075141,128.581995,35.072761,128.580016,왕벚나무,415,2.1,엄궁동 오르막길을 따라 오래된 왕벚나무가 식재되어 있음,엄궁로,,엄궁삼거리~엄궁한신2차아파트,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
한밭대로,36.360781,127.305315,36.366951,127.312585,이팝나무,190,1,없음,현충원로,,덕명네거리~수정초,042-611-2721,유성구청,2019-06-13,3670000,대전광역시 유성구
대동로,35.080278,128.582733,35.082611,128.585891,은행나무+메타세쿼이어+먼나무,184,0.93,"은행나무와 더불어 메타세쿼이어, 먼나무가 식재되어 있음",대동로,,청파아파트 앞~엄궁럭키아파트 입구,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
이일공길,35.083196,128.591855,35.083533,128.592476,먼나무,26,0.1,난대수종인 먼나무길이 조성되어 남부지역의 정취를 느낄 수 있음,주례로,,보수로~동양아파트,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
모덕로,35.105223,128.590986,35.105063,128.591683,왕벚나무+이팝나무+먼나무,62,2.13,"왕벚나무와 이팝나무,먼나무가 식재되어 있음",모덕로,,모덕역~철로변,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
장안1길,35.090356,128.582127,35.090511,128.583384,메타세쿼이어,65,0.1,메타세쿼이어가 식재되어 있음,낙동대로1016번길,,삼진화학~대우자동차,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
하나로길,35.083083,128.591735,35.082631,128.590039,먼나무,70,0.3,난대수종인 먼나무길이 조성되어 남부지역의 정취를 느낄 수 있음,학감대로123번길,,㈜세원~삼성아파트,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
정자길,35.074083,128.581167,35.073148,128.581945,이팝나무,65,0.3,이팝나무가 웅장하게 생육하고 있어 아름다운 꽃을 감상할 수 있음,엄궁중로,,엄궁주유소~엄궁중앙길,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
다대항배후도로,35.115025,128.591492,35.084252,128.580823,왕벚나무,665,5.62,낙동제방 왕벚나무길과 어우러져 봄철 벚꽃길의 정취를 느낄 수 있음,다대항배후도로,,수관교~감전IC,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
신라대학길,35.101051,128.590923,35.100937,128.592309,왕벚나무,25,0.1,왕벚나무가 식재되어 있음,백양대로700번길,,청구아파트~신라대입구,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
이매로,37.390385,127.137226,37.394664,127.122356,버즘나무+벚나무,,1.4,"버즘나무, 벚나무가 있음",,,이매로,,,2019-04-19,3780000,경기도 성남시
새마을로,37.391637,127.157355,37.383981,127.131608,느티나무,,2.4,느티나무가 있음,,,새마을로,,,2019-04-19,3780000,경기도 성남시
수내로,37.383382,127.114666,37.369339,127.128595,느티나무+벚나무,,3,"느티나무, 벚나무가 있음",,,수내로,,,2019-04-19,3780000,경기도 성남시
정자로,37.363415,127.120084,37.363415,127.107124,느티나무,,1.6,느티나무가 있음,,,정자로,,,2019-04-19,3780000,경기도 성남시
장안로51번길,37.372901,127.141801,37.371101,127.144501,느티나무,,1,느티나무가 있음,,,장안로,,,2019-04-19,3780000,경기도 성남시
군도4호,35.258358,126.959348,35.266979,127.047043,배롱나무,1027,12,송강정 가는길로 배롱나무가 조성되어 있음,군도4호,군도,봉산유산~대덕성곡,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
군도3호,35.189686,127.099511,35.250465,127.051356,메타세쿼이아+왕벚나무+이팝나무,1234,10,양옆으로 왕벚나무가 심어져서 봄에 아름다움을 느낌,군도3호,군도,대덕갈전~대덕문학,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
군도1호,35.175665,127.053494,35.233126,127.018318,메타세쿼이아+왕벚나무,548,8,봄에 산수유 꽃이 대부분 보임,군도1호,군도,가사문학면풍암~창평삼천,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
지방898호,35.279871,126.893941,35.321701,126.868384,배롱나무+왕벚나무,1504,7,배롱나무와개나리가 아름다우며 벚꽃이 활짝핌,지방도898호,지방도,대전대치~대전평장,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
지방897호,35.133567,127.044232,35.395891,126.956969,단풍나무+배롱나무+이팝나무+산수유나무,2799,42,봄에 산수유 꽃과  가을에 단풍이 잘 어우러짐,지방도897호,지방도,가사문학면무동~월산광암,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
지방887호,35.131971,127.088261,35.309541,127.076411,메타세쿼이아+은행나무+단풍나무+배롱나무+왕벚나무,5508,29,"식영정,소쇄원 가는 관광지로 배롱나무와  단풍나무가 가을에 아름답고  왕벚나무가 봄에 꽃이 아름다움",지방도887호,지방도,가사문학면구산~무정서흥,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
지방792호,35.429531,127.002175,35.432802,127.044311,단풍나무+왕벚나무,811,5,왕벚나무가 봄에 아름다움,지방도792호,지방도,용면용치~용면용연,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
국지60호,35.219571,126.953831,35.269507,127.081758,메타세쿼이아+배롱나무,720,14,메타세쿼이아가 주로 심어져 있고 배롱나무가 아름다움을 보여줌,국지도60호,일반국도,고서보촌~무정오례,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
국지15호,35.319319,126.978222,35.379608,126.924046,메타세쿼이아+이팝나무,1981,11,양옆으로 이팝나무가 심어져있고 메타세쿼이아가 조화를 이룸,국지도15호,일반국도,담양지침~월산용암,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
국도29호,35.216351,126.950774,35.444388,126.996695,메타세쿼이아+은행나무+단풍나무+배롱나무+왕벚나무,3772,27,대나무와 배롱나무가 조성되어 있어 아름다움. 특히 왕벚나무는 해년마다 축제가 열릴정도로 아름다움,국도29호,지방도,고서보촌~용면용치,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
국도24호,35.272403,126.867917,35.348913,127.069229,메타세쿼이아+은행나무,3119,16,메타세쿼이아가 터널식으로 양옆으로 조성되어 있음,국도24호,지방도,대전서옥~금성덕성,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
국도13호,35.264857,126.889386,35.262982,127.097735,메타세쿼이아+단풍나무+배롱나무+왕벚나무+이팝나무,3982,28,대나무 사이로 단풍나무가 심어져 잘 어우러져 있음,국도13호,지방도,대전월본~무정오례,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
터널오름길,35.113358,128.590036,35.110633,129.001362,은행나무,300,2.1,은행나무가 고가하부를 따라 식재되어 있음,모라로,,삼악IC~백양터널 입구,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
광장로,35.094718,128.583611,35.094344,128.591831,버즘나무+이팝나무+후박나무+먼나무+구실잣밤나무,144,1.1,"명품가로공원과 더불어 이팝나무,후박나무 등이 녹음을 이루고 있음",광장로,,괘법교삼거리~사상역,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
새벽로,35.090314,128.585557,35.094272,128.590398,버즘나무,172,1.1,4차선 도로를 따라 버즘나무가 생육하고 있음,새벽로,,학장대진주유소 앞 삼거리~서부터미널 교차로,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
보수로,35.080821,128.594741,35.083592,128.591691,은행나무+이팝나무+튤립나무,252,2.47,튤립나무가 주를 이루고 있음,학감대로,,구덕터널~학장사거리,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
학장로,35.075718,128.581961,35.085499,128.595812,은행나무+중국단풍,498,5.15,은행나무와 중국단풍이 어우러져있음,학장로,,엄궁삼거리~주례사거리,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
즐거운길,35.101804,128.591925,35.110283,128.592614,은행나무,321,1.1,오래된 은행나무가 생육하고있어 가을철 단풍의 정취를 느낄 수 있음,덕상로,,오양힐아파트~청소년수련관,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
백양대로700번길,35.100952,128.592618,35.101479,128.592589,느티나무,23,0.16,느티나무가 식재되어 있음,백양대로700번길,,덕포청구아파트 입구~덕포경동메르빌아파트입구,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
백양대로,35.091399,129.005922,35.114215,128.593826,왕벚나무+은행나무+버즘나무+후박나무,1163,8.36,은행나무와 버즘나무가 식재되어있음,백양대로,,신주례LG아파트~구포삼거리,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
사상로,35.090201,128.595902,35.114335,128.592768,은행나무+후박나무,965,8.4,은행나무가 주를 이뤄 식재되어있음,사상로,,주례교차로~구포삼거리,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
가야대로,35.090682,129.010131,35.090863,128.582386,은행나무+이팝나무+메타세쿼이어,661,4.4,은행나무가 주를 이뤄 식재되어 있음,가야대로,,한진주유소~감전IC,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
강변대로,35.090991,128.581891,35.071269,128.573954,왕벚나무+후박나무+가시나무,623,2.6,"낙동강변을 따라 가시나무, 후박나무등이 식재되어 산책로를 이루고 있음",강변대로,,감전사거리~사하구 경계,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
낙동대로,35.114866,128.591694,35.071262,128.574242,은행나무+메타세쿼이어,939,8.01,낙동제방 건너편으로 은행나무가 어우러져 있음,낙동대로,,북구청 입구~사하 재활용선별장 앞,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
삼락천로,35.112982,128.590448,35.112621,128.590093,은행나무,21,0.15,삼락천변을 따라 은행나무가 식재되어있음,삼락천로,,롯데종합정비 맞은 편~한국미크로 맞은편,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
학감대로,35.082638,128.592002,35.082225,128.591755,왕벚나무+은행나무,26,0.08,왕벚나무와 은행나무가 식재되어 있음,학감대로,,우성아파트 입구~우성아파트 입구,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
학감대로,35.091971,128.592726,35.083695,128.591702,먼나무,150,0.65,난대수종인 먼나무길이 조성되어 남부지역의 정취를 느낄 수 있음,학감대로,,감전사거리~학장사거리,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
냉정길,35.090327,129.004062,35.084909,129.004028,왕벚나무,47,0.3,왕벚나무가 식재되어 있음,냉정길,,동서대입구~동서대입구,,부산광역시 사상구청,2019-09-09,3390000,부산광역시 사상구
"여술43,44번길",36.987928,126.849123,36.990798,126.847591,중국단풍,101,640,도로 좌우쪽으로 중국단풍나무가 심겨져 있어 아름다운 경관 연출,"여술43,44번길",,모아미래도2차아파트~포승삼부르네상스2단지,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
농심포승물류센터 앞길,36.971372,126.855562,36.976013,126.860959,이팝,189,863,도로 좌우쪽으로 이팝나무가 심겨져 있어 아름다운 경관 연출,농심포승물류센터 앞길,,아세아스틸~농심포승물류센터,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
여술1길,36.98574,126.845249,36.992479,126.85912,중국단풍,264,1940,도로 좌우쪽으로 중국단풍나무가 심겨져 있어 아름다운 경관 연출,여술1길,,엘리시아호텔~서평택삼익마에스트로,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
포승장안로,37.008785,126.869971,37.026562,126.867655,왕벚,132,920,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,포승장안로,,홍원육교~햇살들 오토캠핑리조트,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
석정로,37.001468,126.883069,37.003245,126.879945,은행,19,300,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,석정로,,대원보석블럭~석정리 649-36,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
포승서로,36.987744,126.849108,37.012907,126.883647,메타세콰이아,472,3112,도로 좌우쪽으로 메타세콰이아나무가 심겨져 있어 아름다운 경관 연출,포승서로,,모아미래도1차 APT~평택 포승읍 홍원리 49,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
현덕로,36.9724,126.943162,36.969436,126.902423,이팝+은행,199,1009,도로 좌우쪽으로 이팝+은행나무가 심겨져 있어 아름다운 경관 연출,현덕로,,현덕면 황산리 산 23-45~운정1리입구 사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
서해로,36.911554,126.909334,36.970523,126.931094,이팝+왕벚+은행,891,6485,도로 좌우쪽으로 이팝+왕벚+은행나무가 심겨져 있어 아름다운 경관 연출,서해로,,평택 안중읍 송담리 515-1~오뚜기식품 버스정류장,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
평택호길,36.914972,126.912778,36.914196,126.907504,이팝,311,1490,도로 좌우쪽으로 이팝나무가 심겨져 있어 아름다운 경관 연출,평택호길,,평택호 예술공원~현덕면 권관리 564-18,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
장수길,36.949933,126.912554,36.939067,126.916182,은행,6,31,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,장수길,,현덕면 도대리 71-3~현덕면 장수리 산 57-6,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
평택호1길,36.915333,126.912105,36.918307,126.906667,왕벚,95,478,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,평택호1길,,평택호캠핑장~우경삼거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
안청로,37.014936,126.915019,37.032815,126.909355,튤립나무,266,1825,도로 좌우쪽으로 튤립나무나무가 심겨져 있어 아름다운 경관 연출,안청로,,현화교차로~수촌 버스정류장,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
안청로2길,37.017467,126.915947,37.021832,126.914957,이팝+왕벚,317,2280,도로 좌우쪽으로 이팝+왕벚나무가 심겨져 있어 아름다운 경관 연출,안청로2길,,본죽 평택청북점~새터근린공원,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
청북남로,37.023303,126.943084,37.022794,126.907918,왕벚+은행+느티+이팝,1001,4125,도로 좌우쪽으로 왕벚+은행+느티+이팝나무가 심겨져 있어 아름다운 경관 연출,청북남로,,평택 청북읍 후사리 373-6~평택 청북읍 옥길리 1201,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
청원로,37.010188,127.091609,37.039756,126.934249,왕벚+은행,569,4400,도로 좌우쪽으로 왕벚+은행나무가 심겨져 있어 아름다운 경관 연출,청원로,,건성1교~현대아파트 사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
청오로,37.033855,126.959688,37.031926,126.958202,은행,23,300,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,청오로,,가자을~토진리417-12,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
강변로,36.981792,126.960289,37.017376,127.01606,왕벚,2008,13097,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,강변로,,평택 안중읍 대반리 751~평택 안중읍 안중리 산 73-1,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
숙성시장길,37.008149,126.978886,37.009609,126.988246,왕벚,10,62,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,숙성시장길,,오성초등학교~숙성리 228-2,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
용성길,37.004822,126.961384,37.006428,126.953817,은행,80,515,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,용성길,,남원 논두렁추어탕~평택 안중읍 용성리 507-4,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
서동대로,37.017376,127.016082,37.004981,126.962259,메타세콰이아,212,978,도로 좌우쪽으로 메타세콰이아나무가 심겨져 있어 아름다운 경관 연출,서동대로,,신대교~비전지하차도사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
군도20호,35.349549,127.032597,35.376364,126.994779,왕벚나무,792,7,왕벚나무가 오래전에 조성된 가로수로 봄에 드라이브 코스로 좋음,군도20호,군도,금성봉서~용면도림,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
군도18호,35.272731,127.032658,35.322575,127.003754,왕벚나무,250,10,임도로 연결되는 부분으로 왕벚나무가 멀리서 봐도 아름다움,군도18호,군도,대덕매산~담양학동,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
군도17호,35.221932,126.974381,35.224376,126.989359,배롱나무,350,5,명옥헌원림으로 가는 길로 배롱나무가 조성됨,군도17호,군도,고서금현~고서교산,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
군도16호,35.288187,126.976756,35.289555,127.028069,이팝나무,533,7,최근에 조성된 이팝나무가 있어 아름다운 가로수가 됨,군도16호,군도,봉산대추~무정동산,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
군도15호,35.312378,126.926905,35.349631,126.972343,배롱나무,355,8,배롱나무가 조성되어 있어서 아름다움을 보여줌,군도15,군도,수북대방~월산월계,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
군도10호,35.329705,126.977611,35.382182,126.966326,배롱나무,773,7,배롱나무가 있어서 가을에 아름다움을 보여줌,군도10호,군도,담양만성~용면쌍태,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
군도6호,35.252218,126.930085,35.252427,126.954592,배롱나무,222,2,배롱나무가 조성되어 있어서 가을에 아름다움,군도6호,군도,봉산와우~봉산양지,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
군도5호,35.240545,127.010542,35.314887,126.900646,메타세쿼이아+은행나무+배롱나무+왕벚나무+이팝나무,1753,16,"배롱나무,왕벚,이팝등 여러종류 가로수가 조성되어 있음",군도5호,군도,창평창평~수북대방,061-380-2946,전라남도 담양군청,2019-05-27,4850000,전라남도 담양군
추팔산단로,36.959728,127.073948,36.963969,127.068894,왕벚,151,762,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,추팔산단로,,GS25추팔공단점~추팔공업단지사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01,3910000,경기도 평택시
노와길,36.955611,127.083483,36.953742,127.080253,은행,6,63,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,노와길,,경기도유아체험교육원~대양프라텍,031-8024-4212,평택시청 산림녹지과,2019-04-01,3910000,경기도 평택시
안현로서9길,36.977602,126.924146,36.987916,126.917534,느티+은행+왕벚,486,2344,도로 좌우쪽으로 느티+은행+왕벚나무가 심겨져 있어 아름다운 경관 연출,안현로서9길,,안중버스터미널~이화마을 건영캐스빌 APT,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
안현로서7길,36.98068,126.92571,36.980542,126.91803,은행,189,911,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,안현로서7길,,동신2차아파트~늘푸른아파트,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
안현로서8길,36.977585,126.924075,36.979475,126.916376,느티+은행,208,976,도로 좌우쪽으로 느티+은행나무가 심겨져 있어 아름다운 경관 연출,안현로서8길,,안중터미널~현화고교앞삼거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
현화중앙길,36.978941,126.921395,36.987409,126.92009,느티+은행,218,1023,도로 좌우쪽으로 느티+은행나무가 심겨져 있어 아름다운 경관 연출,현화중앙길,,성대마트~현대3차아파트,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
안현로,36.952004,126.91435,36.989664,126.932719,소나무+느티,177,1452,도로 좌우쪽으로 소나무+느티나무가 심겨져 있어 아름다운 경관 연출,안현로,,기산교차로~안중오거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
현화고등학교 우측길,36.978857,126.919044,36.979498,126.91906,은행,22,88,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,현화고등학교 우측길,,리얼파스타~현화문고,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
안중로,36.982539,126.924397,36.989582,126.933733,은행+왕벚,81,533,도로 좌우쪽으로 은행+왕벚나무가 심겨져 있어 아름다운 경관 연출,안중로,,평택안일초등학교~평택 안중읍 안중리 212-5,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
서해로,36.970751,126.931189,37.020033,126.943726,이팝,971,5511,도로 좌우쪽으로 이팝나무가 심겨져 있어 아름다운 경관 연출,서해로,,평택 안중읍 송담리 515-1~오뚜기식품 버스정류장,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
강변로,36.979363,126.953657,36.983538,126.929248,느티+왕벚+대왕참,337,2430,도로 좌우쪽으로 느티+왕벚+대왕참나무가 심겨져 있어 아름다운 경관 연출,강변로,,평택 안중읍 대반리 751~평택 안중읍 안중리 산 73-1,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
평택시청 안중출장소 입구길,36.988609,126.92059,36.989862,126.919693,왕벚,17,73,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,평택시청 안중출장소 입구길,,평택시청 안중출장소입구 주차장~평택시 안중 출장소,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
2함대길,36.99327,126.839591,36.993034,126.828487,메타세콰이아+느티,189,987,도로 좌우쪽으로 메타세콰이아+느티나무가 심겨져 있어 아름다운 경관 연출,2함대길,,원정변전소사거리~해군2함대정문,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
2함대길 상부길,36.995318,126.834211,36.993034,126.828487,느티,52,850,도로 좌우쪽으로 느티나무가 심겨져 있어 아름다운 경관 연출,2함대길 상부길,,해군원정아파트~해군2함대정문,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
평택항로,36.961741,126.854588,36.994848,126.848831,팽+왕벚,736,4340,도로 좌우쪽으로 팽+왕벚나무가 심겨져 있어 아름다운 경관 연출,평택항로,,만호사거리~원정교차로,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
서동대로,36.961741,126.854588,36.966503,126.849866,왕벚+은행,283,3629,도로 좌우쪽으로 왕벚+은행나무가 심겨져 있어 아름다운 경관 연출,서동대로,,신대교~비전지하차도사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
포승공단순환로,36.963245,126.844221,36.985261,126.829056,왕벚+회화,1023,6500,도로 좌우쪽으로 왕벚+회화나무가 심겨져 있어 아름다운 경관 연출,포승공단순환로,,신대동국제물류~롤팩,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
평택항만길,36.961741,126.854599,36.993643,126.834446,왕벚+중국단풍,761,4632,도로 좌우쪽으로 왕벚+중국단풍나무가 심겨져 있어 아름다운 경관 연출,평택항만길,,만호사거리~번제공원,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
포승공단로117번길,36.98035,126.847832,36.99297,126.839688,중국단풍,288,1560,도로 좌우쪽으로 중국단풍나무가 심겨져 있어 아름다운 경관 연출,포승공단로117번길,,현대모비스사거리~원정변전소사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
포승공단로118번길,36.969819,126.855133,36.980341,126.847778,중국단풍,235,1560,도로 좌우쪽으로 중국단풍나무가 심겨져 있어 아름다운 경관 연출,포승공단로118번길,,대명금속삼거리~현대모비스사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
두정1길,36.940377,127.048059,36.942016,127.037744,이팝,31,170,도로 좌우쪽으로 이팝나무가 심겨져 있어 아름다운 경관 연출,두정1길,,석근삼거리~두정교차로,031-8024-4212,평택시청 산림녹지과,2019-04-01,3910000,경기도 평택시
평택항로268번길,36.983314,126.845601,36.98173,126.838089,양버즘+중국단풍,452,2364,도로 좌우쪽으로 양버즘+중국단풍나무가 심겨져 있어 아름다운 경관 연출,평택항로268번길,,평택 포승읍 도곡리 1207~연암교사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
평택항로156번길,36.973786,126.845475,36.979935,126.859703,양버즘,288,1580,도로 좌우쪽으로 양버즘나무가 심겨져 있어 아름다운 경관 연출,평택항로156번길,,포승119안전센터~대우공업삼거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
평택당진항동부두 앞길,36.973786,126.845475,36.970454,126.838556,왕벚+중국단풍,91,580,도로 좌우쪽으로 왕벚+중국단풍나무가 심겨져 있어 아름다운 경관 연출,평택당진항동부두 앞길,,포승119안전센터~평택당진항동부두6교차로,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
포승공단로,36.975558,126.837171,36.988811,126.862828,중국단풍+왕벚+팽,860,4651,도로 좌우쪽으로 중국단풍+왕벚+팽나무가 심겨져 있어 아름다운 경관 연출,포승공단로,,평택당진항동부두5교차로~서평택IC사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
여술로,36.990812,126.847571,36.987584,126.843429,중국단풍,118,820,도로 좌우쪽으로 중국단풍나무가 심겨져 있어 아름다운 경관 연출,여술로,,포승삼부르네상스2단지~스마트빌듀오2차,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
여술2길,36.986086,126.846766,36.990965,126.843946,중국단풍,108,680,도로 좌우쪽으로 중국단풍나무가 심겨져 있어 아름다운 경관 연출,여술2길,,모아반점~영광식당,031-8024-8482,안중출장소 건축녹지과,2019-04-01,3910000,경기도 평택시
동삭로,37.00354,127.088157,37.02311,127.098452,느티,187,1820,도로 좌우쪽으로 느티나무가 심겨져 있어 아름다운 경관 연출,동삭로,,평택 신대동 42-1~통복사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01,3910000,경기도 평택시
안정로,36.957762,127.044914,36.974805,127.076143,왕벚+은행,653,3123,도로 좌우쪽으로 왕벚+은행나무가 심겨져 있어 아름다운 경관 연출,안정로,,K6사거리~평궁삼거리,031-8024-4212,평택시청 산림녹지과,2019-04-01,3910000,경기도 평택시
